City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
274,Ponnani,IN,10.767,75.9252,78.12,91,90,3.06,overcast clouds
275,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,82.8,58,79,6.33,broken clouds
276,Atar,MR,20.5169,-13.0499,82.85,35,100,7.58,overcast clouds
277,Hobyo,SO,5.3505,48.5268,79.88,67,99,12.39,overcast clouds
278,Thinadhoo,MV,0.5333,72.9333,81.01,79,100,18.1,heavy intensity rain
279,Walvis Bay,NA,-22.9575,14.5053,59.95,88,0,9.22,clear sky
280,Ilulissat,GL,69.2167,-51.1,19.42,79,75,5.75,light shower snow
281,Rafai,CF,4.95,23.9167,69.94,54,44,1.01,scattered clouds
282,San Patricio,US,28.017,-97.5169,75.61,34,81,12.26,broken clouds
283,Aripuana,BR,-9.1667,-60.6333,82.02,80,100,2.13,overcast clouds
284,Takayama,JP,36.1333,137.25,41.5,96,100,3.53,overcast clouds
285,Yulara,AU,-25.2406,130.9889,64.24,88,40,6.91,scattered clouds
286,Lagoa,PT,39.05,-27.9833,65.01,83,100,28.03,overcast clouds
287,El Alto,PE,-4.2714,-81.2147,74.86,74,75,11.5,broken clouds
288,Beberibe,BR,-4.1797,-38.1306,84.24,81,89,12.53,overcast clouds
289,Codrington,AU,-38.2667,141.9667,64.35,59,100,8.39,overcast clouds
290,Pevek,RU,69.7008,170.3133,-20.06,98,16,3.22,few clouds
291,Hovd,MN,48.0056,91.6419,24.46,32,100,8.01,overcast clouds
292,Katangli,RU,51.7102,143.2326,34.39,87,100,32.77,light rain
293,Scottsbluff,US,41.8666,-103.6672,66.63,18,1,11.01,clear sky
294,Lasa,IT,46.6166,10.7002,43.68,92,97,3.74,overcast clouds
295,Tenosique,MX,17.4833,-91.4333,74.1,82,20,7.63,few clouds
296,Abeche,TD,13.8292,20.8324,77.36,18,33,11.9,scattered clouds
297,Bilibino,RU,68.0546,166.4372,-21.53,96,5,3.78,clear sky
298,Sarakhs,IR,36.5449,61.1577,57.09,35,100,3.69,overcast clouds
299,Bathsheba,BB,13.2167,-59.5167,83.01,69,75,16.11,broken clouds
300,Saint Anthony,US,45.0205,-93.218,31.24,48,90,1.01,overcast clouds
301,Manga,BF,11.6636,-1.0731,81.59,17,0,6.31,clear sky
302,Zhezkazgan,KZ,47.8043,67.7144,33.3,79,98,22.3,overcast clouds
303,Ahipara,NZ,-35.1667,173.1667,66.74,68,35,11.48,scattered clouds
304,Camacha,PT,33.0833,-16.3333,65.62,88,40,9.22,scattered clouds
305,Laela,TZ,-8.5667,32.05,69.17,47,50,2.37,scattered clouds
306,Baykit,RU,61.67,96.37,11.07,95,100,4.65,overcast clouds
307,Veraval,IN,20.9,70.3667,79.7,83,94,2.3,overcast clouds
308,Amuntai,ID,-2.4177,115.2494,73.58,96,56,1.45,broken clouds
309,Provideniya,RU,64.3833,-173.3,1.29,81,1,10.47,clear sky
310,Shingu,JP,33.7333,135.9833,46.42,66,61,8.63,broken clouds
311,Constitucion,CL,-35.3333,-72.4167,69.69,56,14,18.03,few clouds
312,Taltal,CL,-25.4,-70.4833,64.18,70,85,4.65,overcast clouds
313,Dubbo,AU,-32.25,148.6167,62.73,77,94,16.11,overcast clouds
314,Bangkal,PH,6.0667,121.0667,78.89,85,91,2.44,overcast clouds
315,Upernavik,GL,72.7868,-56.1549,3.22,91,84,6.06,broken clouds
316,Buta,CD,2.7858,24.73,72.14,84,77,1.01,broken clouds
317,Turbat,PK,26.0023,63.044,70.74,13,32,5.03,scattered clouds
318,Sayyan,YE,15.1718,44.3244,53.4,29,11,5.7,few clouds
319,Jiuquan,CN,39.7432,98.5174,22.51,40,0,1.83,clear sky
320,Xinyang,CN,32.1228,114.0656,38.53,31,100,3.65,overcast clouds
321,Chegdomyn,RU,51.1167,133.0167,25.72,65,100,10.0,overcast clouds
322,Agadez,NE,19.75,10.25,76.32,20,0,8.95,clear sky
323,Semnan,IR,35.5729,53.3971,48.4,71,1,0.38,clear sky
324,Bonavista,CA,48.6499,-53.1147,41.11,83,21,12.53,few clouds
325,Yerbogachen,RU,61.2767,108.0108,-9.08,89,34,8.32,scattered clouds
326,Tiarei,PF,-17.5333,-149.3333,86.02,81,22,11.48,few clouds
327,Qaqortoq,GL,60.7167,-46.0333,23.5,84,100,3.22,overcast clouds
328,Kaeo,NZ,-35.1,173.7833,70.32,76,34,4.23,scattered clouds
329,Laguna,US,38.421,-121.4238,70.65,66,1,1.01,clear sky
330,Rio Gallegos,AR,-51.6226,-69.2181,53.65,22,40,23.02,scattered clouds
331,Marawi,PH,7.9986,124.2928,65.64,95,48,1.88,scattered clouds
332,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,88,99,12.15,overcast clouds
333,Ustynivka,UA,47.9551,32.5367,43.18,78,100,8.52,overcast clouds
334,Sola,VU,-13.8833,167.55,82.35,73,35,12.5,scattered clouds
335,Timmins,CA,48.4669,-81.3331,15.62,79,90,8.05,light snow
336,Rocha,UY,-34.4833,-54.3333,87.46,35,72,8.77,broken clouds
337,Coaraci,BR,-14.6408,-39.5511,78.24,99,71,2.84,broken clouds
338,Nador,MA,35.174,-2.9287,61.05,67,0,10.36,clear sky
339,Khani,GE,41.9563,42.9566,33.37,64,0,5.08,clear sky
340,Trelew,AR,-43.249,-65.3051,55.72,45,53,18.39,broken clouds
341,Rasra,IN,25.85,83.85,62.96,37,0,6.55,clear sky
342,Tarakan,ID,3.3,117.6333,79.99,82,84,4.47,broken clouds
343,Olafsvik,IS,64.8945,-23.7142,42.12,70,99,28.74,overcast clouds
